,26-Jun-2025
The Nifty witnessed an intraday movement of about 305.4 points.The closing index was 1.21 % up as compared to the previous closing index.

, Traded Value (Rs. In Crores), 118579.67
, Traded Quantity (in Lakhs), 44604.74
, Number of Trades, 34221161
, Total Market Capitalisation (Rs. Crores), 45516258.62

,INDEX,PREVIOUS CLOSE,OPEN,HIGH,LOW,CLOSE,GAIN/LOSS
,774IREDA31,N7,      1128.00,                     3382.10,3
,77TS38,SG,       100.30,                    10030.00,100
,78ABCL33,N1,      1008.00,                    23051.04,23
,797IGT31,NL,      1005.00,                   178509.00,178
,79NHIT35,N1,       311.24,                   129477.60,416
,79NHIT40,N2,       308.02,                   127831.50,415
,79NHIT47,N3,       418.43,                   251768.25,601
,810IRFC27,N2,      1092.14,                    20750.66,19
,81TCHF28,N8,      1010.22,                  1079024.31,1067
,82HUDCO27,N2,      1065.99,                 29547390.69,27744
,830NHAI27,N2,      1100.00,                   117796.60,107
,830PFCL27,N5,      1096.01,                   104169.54,95
,842IIFL26,NL,       982.00,                   242392.00,246
,847SCL25,Z2,      1055.20,                    52760.00,50
,84TCHF28,NA,      1048.15,                     1048.15,1
,863IRFC29,NC,      1130.05,                     1130.05,1
,865IIFL28,NS,       967.16,                   609013.50,630
,865IRFC29,NA,      1110.06,                     3330.18,3
,865SCL26,N8,       947.20,                   142080.00,150
,875IHFL29,ND,       960.00,                    52800.00,55
,875NHAI29,N6,      1147.00,                   849954.00,740
,876HUDCO28,ND,      1145.10,                     6870.60,6
,883GS2041,GS,       120.85,                   181275.00,1500
,885SCL26,N9,      1028.00,                   664088.00,646
,888ERFL28,N5,       944.52,                    44393.28,47
,888REC29,NF,      1145.16,                   950482.80,830
,890NHB34,N7,      6199.00,                   161174.00,26
,891NTPC33,N6,      1272.10,                   158966.10,125
,892NHPC33,N6,      1242.00,                   123741.02,99
,892PFCL33,N8,      1271.08,                   520210.45,409
,898LTF29,N7,      1073.79,                   862848.10,819
,901HUDCO34,NE,      1298.72,                   548999.60,423
,901NHB34,N6,      6425.00,                    77827.30,12
,905LTF27,NF,      1045.00,                   104500.00,100
,905SC24B,Z9,       971.00,                   197113.00,203
,910TCAP28,NA,      1113.00,                    22260.00,20
,915SCL26,NE,      1028.11,                  1041604.00,1012
,91D010825,TB,        99.10,                   118949.00,1200
,91D070825,TB,        99.00,                    19828.00,200
,91D110925,TB,        98.25,                    29474.00,300
,91D140825,TB,        98.87,                   306525.00,3100
,91D170725,TB,        99.59,                     9959.00,100
,91MOFSL27,N2,      1020.00,                    61200.00,60
,920SCL23A,AO,      1080.80,                     1080.80,1
,925SCL28C,BS,       930.00,                     5580.00,6
,92GS2030,GS,       116.40,                   332749.30,2877
,930APMD35,N0,    103300.00,                   203600.00,2
,932AEL27,N3,      1025.00,                   307500.00,300
,935TSIIC33,N0,    103245.00,                  1548675.00,15
,93MOFSL34,N6,      1043.01,                    10430.10,10
,943ECL28,NJ,       972.00,                   225854.00,232
,94SFL28,YL,      1037.33,                   440295.00,425
,955SCL27,Z5,       997.45,                     9974.50,10
,957ISFL26,N2,       999.00,                    49950.00,50
,957NIDO26,N5,       953.80,                    71597.00,75
,965AEL27,N4,      1075.00,                   603109.72,561
,965SCL25F,NZ,       890.00,                    22250.00,25
,96IIFL28,N5,       974.49,                  1432748.34,1474
,96IIFL28A,NF,       978.02,                   817003.60,832
,970CAGL28,ND,      1010.26,                   195791.40,194
,971SCL29,Z0,       970.00,                     5820.00,6
,97SFL26,Z9,      1093.00,                   218600.00,200
,985ECL28,NK,      1046.53,                    62792.00,60
,985SFIL28,NO,       599.00,                    21515.50,36
,990SCL26D,AH,       380.00,                      760.00,2
