Date,Symbol,Underlying Close Price (A),Underlying Previous Day Close Price (B),Underlying Log Returns (C) = LN(A/B),Previous Day Underlying Volatility (D),Current Day Underlying Daily Volatility (E) = Sqrt(0.995*D*D + 0.005*C*C),Underlying Annualised Volatility (F) = E*Sqrt(365)
26-JUN-2025,530571,8.22,8.22,0.0000,0.0341,0.0340,0.6496
26-JUN-2025,530577,55.17,55.45,-0.0051,0.0401,0.0400,0.7642
26-JUN-2025,530581,7.05,6.74,0.0450,0.0339,0.0339,0.6477
26-JUN-2025,530585,121.45,117.40,0.0339,0.0323,0.0323,0.6171
26-JUN-2025,530589,151.80,152.40,-0.0039,0.0298,0.0297,0.5674
26-JUN-2025,530595,9.73,10.24,-0.0511,0.0411,0.0411,0.7852
26-JUN-2025,530601,47.51,45.25,0.0487,0.0268,0.0269,0.5139
26-JUN-2025,530615,169.95,168.70,0.0074,0.0357,0.0357,0.6820
26-JUN-2025,530617,33.10,32.46,0.0195,0.0345,0.0344,0.6572
26-JUN-2025,530621,157.25,153.05,0.0271,0.0321,0.0321,0.6133
26-JUN-2025,530627,216.65,206.35,0.0487,0.0362,0.0362,0.6916
26-JUN-2025,530643,593.75,587.55,0.0105,0.0312,0.0311,0.5942
26-JUN-2025,530663,1.25,1.16,0.0747,0.0291,0.0295,0.5636
26-JUN-2025,530665,4.40,4.43,-0.0068,0.0284,0.0283,0.5407
26-JUN-2025,530669,199.00,199.00,0.0000,0.0359,0.0359,0.6859
26-JUN-2025,530675,55.59,53.30,0.0421,0.0312,0.0313,0.5980
26-JUN-2025,530689,34.03,34.66,-0.0183,0.0333,0.0333,0.6362
26-JUN-2025,530695,36.88,38.00,-0.0299,0.0398,0.0397,0.7585
26-JUN-2025,530697,33.95,33.20,0.0223,0.0310,0.0309,0.5903
26-JUN-2025,530705,95.08,97.02,-0.0202,0.0249,0.0249,0.4757
26-JUN-2025,530709,87.68,91.50,-0.0426,0.0405,0.0405,0.7738
26-JUN-2025,530711,68.02,68.09,-0.0010,0.0315,0.0315,0.6018
26-JUN-2025,530723,107.10,106.95,0.0014,0.0345,0.0344,0.6572
26-JUN-2025,530733,11.34,11.64,-0.0261,0.0506,0.0505,0.9648
26-JUN-2025,530735,29.40,28.01,0.0484,0.0370,0.0370,0.7069
