SYMBOL,SYMBOL P/E,ADJUSTED P/E
ICRA,37.96,37.96
PHOENIXLTD,44.48,44.87
NDLVENTURE,370.39,370.39
ZENITHSTL,258.56,258.56
BFUTILITIE,11.48,11.48
FORTIS,73.79,67.58
SRHHYPOLTD,12.46,12.11
WEBELSOLAR,36.12,36.12
TGBHOTELS,18.73,18.73
HILTON,25.83,25.83
INSECTICID,20.23,20.26
KMSUGAR,7.45,7.45
NAVINFLUOR,80.80,80.80
TIMETECHNO,26.11,26.11
NAGREEKEXP,28.43,28.43
NELCAST,32.29,35.15
V2RETAIL,89.06,89.06
DLF,78.48,103.99
TARMAT,69.64,69.64
MEGASOFT,82.64,82.64
ADSL,32.33,32.33
ALPA,10.74,10.74
CENTRALBK,9.22,9.22
ASIANTILES,46.60,46.60
KPRMILL,47.29,47.29
CIEINDIA,20.91,20.91
MOTILALOFS,20.74,20.74
INDOWIND,206.36,206.36
NAGREEKCAP,1.78,1.78
MAGNUM,18.62,17.37
KSCL,21.62,21.62
CENTUM,,222.62
POWERGRID,17.28,17.28
CCCL,10.02,
MANGCHEFER,22.74,22.74
MAANALU,44.17,44.17
DELTACORP,9.09,27.61
BAJAJELEC,59.26,67.72
CERA,35.14,34.97
RELIGARE,40.37,40.37
BVCL,16.40,16.40
ADANIPORTS,27.56,27.04
EDELWEISS,19.61,19.61
RGL,18.13,18.13
KOLTEPATIL,33.60,33.60
COLPAL,45.81,45.81
JYOTHYLAB,33.42,33.08
KALYANIFRG,45.00,45.00
HITECHCORP,37.17,35.15
ECLERX,30.90,30.90
TARIL,67.65,68.39
BRIGADE,41.60,41.60
MANAKSIA,8.29,7.70
PATINTLOG,14.17,14.17
PPAP,58.60,58.60
ARIES,12.59,12.59
AMBIKCO,13.63,13.63
CEATLTD,32.81,31.12
BIRLAMONEY,14.57,14.57
RPOWER,9.37,
JKIL,14.28,14.28
CORDSCABLE,17.97,17.97
KNRCON,6.36,6.20
HERCULES,52.47,52.47
SEPC,107.13,68.71
IRB,4.54,35.56
NMDC,9.26,9.26
NAHARCAP,20.52,20.52
RECLTD,6.61,6.61
